species,speciesno,trayplacement,assignedrandomsamples,block,soil,trtno,newno,rep,treatment,feedstock,temperature,plantednumber,harvest live,percentemerged,aspercent,harvesttotalliveanddead,shootdw,shootdwplant,log10 shootdwplant,pH,EC,log10 EC,P,log10 P,Extra comments 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cabbage,1,77,68,bottom,Coxville,13,13,1,82-500,82,500,25,19,76,1.058823639,21,0.0467,0.00222381,-2.652902414,5.22,321,2.506505032,16.212985,1.209862981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cabbage,1,126,42,bottom,Coxville,14,14,1,PC-700,PC,700,25,21,84,1.159279481,21,0.0743,0.003538095,-2.451230481,5.37,197,2.294466226,12.251675,1.088195468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cabbage,1,86,47,bottom,Coxville,15,15,1,PL-700,PL,700,25,21,84,1.159279481,21,0.0767,0.003652381,-2.437423931,6.02,496,2.695481676,36.228025,1.559044659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cabbage,1,96,72,bottom,Coxville,16,16,1,SS-700,SS,700,25,22,88,1.217054721,22,0.0994,0.004518182,-2.345036296,5.92,318,2.50242712,59.73816,1.776251842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cabbage,1,111,35,bottom,Coxville,17,17,1,SG-700,SG,700,25,21,84,1.159279481,21,0.052,0.00247619,-2.606215951,5.31,219,2.340444115,12.7729,1.106289512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cabbage,1,116,11,bottom,Coxville,18,18,1,55-700,55,700,25,21,84,1.159279481,21,0.1046,0.004980952,-2.30268761,5.15,300,2.477121255,26.32475,1.420364255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cabbage,1,133,13,bottom,Coxville,19,19,1,82-700,82,700,25,18,72,1.0131975,20,0.079,0.00395,-2.403402904,5.54,263,2.419955748,17.7227,1.248529886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cabbage,1,115,5,bottom,Norfolk,1,20,1,Control,,,25,21,84,1.159279481,22,0.0816,0.003709091,-2.430732522,5.94,126,2.100370545,3.295338,0.517899966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cabbage,1,85,26,bottom,Norfolk,2,21,1,PC-350,PC,350,25,20,80,1.107148718,21,0.061,0.002904762,-2.53688946,6.06,169,2.227886705,2.719042,0.434415916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cabbage,1,80,25,bottom,Norfolk,3,22,1,PL-350,PL,350,25,19,76,1.058823639,19,0.0652,0.003431579,-2.464506005,6.92,531,2.725094521,28.10552,1.448791625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
